,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
62,63.0,LR Shukla,46.0,358.0,326.0,1.0,399.0,262.0,209.0,137.0,149.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0
63,64.0,DPMD Jayawardene,80.0,1522.0,0.0,0.0,1808.0,760.0,660.0,1042.0,860.0,4.0,4.0,4.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0
64,65.0,S Sohal,20.0,311.0,0.0,0.0,368.0,184.0,162.0,184.0,149.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
65,66.0,B Lee,38.0,102.0,916.0,1.0,124.0,64.0,53.0,60.0,49.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
66,67.0,PP Chawla,129.0,467.0,2594.0,1.0,515.0,280.0,266.0,235.0,201.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
67,68.0,WA Mota,11.0,76.0,75.0,1.0,56.0,48.0,62.0,8.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,69.0,Kamran Akmal,6.0,78.0,0.0,0.0,128.0,53.0,28.0,75.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,70.0,Shahid Afridi,10.0,46.0,185.0,1.0,81.0,27.0,23.0,54.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,71.0,DJ Bravo,105.0,1032.0,2110.0,1.0,1262.0,729.0,562.0,533.0,470.0,7.0,1.0,7.0,3.0,3.0,3.0,3.0,3.0,13.0,0.0
71,72.0,MA Khote,3.0,22.0,30.0,1.0,24.0,7.0,10.0,17.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,73.0,A Nehra,88.0,63.0,1974.0,1.0,41.0,6.0,19.0,35.0,44.0,7.0,6.0,6.0,0.0,10.0,6.0,3.0,3.0,11.0,11.0
73,74.0,GC Smith,29.0,690.0,0.0,0.0,739.0,369.0,292.0,370.0,398.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
74,75.0,Pankaj Singh,17.0,12.0,311.0,1.0,7.0,1.0,2.0,6.0,10.0,5.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
75,76.0,RR Sarwan,4.0,78.0,0.0,0.0,73.0,7.0,9.0,66.0,69.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,77.0,S Sreesanth,44.0,57.0,947.0,1.0,34.0,18.0,39.0,16.0,18.0,4.0,4.0,4.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0
77,78.0,VRV Singh,18.0,3.0,371.0,1.0,4.0,4.0,2.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,79.0,SS Tiwary,68.0,1110.0,0.0,0.0,1270.0,740.0,593.0,530.0,517.0,7.0,7.0,7.0,2.0,2.0,2.0,0.0,6.0,12.0,7.0
79,80.0,DS Kulkarni,72.0,101.0,1484.0,1.0,90.0,16.0,14.0,74.0,87.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,13.0,13.0
80,81.0,R Vinay Kumar,103.0,285.0,2161.0,1.0,304.0,152.0,126.0,152.0,159.0,2.0,2.0,2.0,9.0,2.0,2.0,1.0,7.0,7.0,7.0
81,82.0,AB Agarkar,42.0,160.0,820.0,1.0,179.0,117.0,98.0,62.0,62.0,1.0,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0
82,83.0,M Kartik,56.0,109.0,1182.0,1.0,113.0,78.0,73.0,35.0,36.0,1.0,1.0,1.0,10.0,10.0,2.0,4.0,0.0,0.0,0.0
83,84.0,I Sharma,76.0,59.0,1713.0,1.0,45.0,21.0,26.0,24.0,33.0,1.0,1.0,1.0,8.0,0.0,11.0,11.0,11.0,12.0,4.0
84,85.0,AM Rahane,108.0,2602.0,6.0,0.0,3057.0,1623.0,1339.0,1434.0,1263.0,7.0,7.0,0.0,5.0,5.0,5.0,5.0,5.0,12.0,12.0
85,86.0,Shoaib Malik,7.0,49.0,58.0,1.0,52.0,28.0,27.0,24.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,87.0,MK Tiwary,88.0,1444.0,38.0,0.0,1648.0,855.0,727.0,793.0,717.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,12.0
87,88.0,KD Karthik,146.0,2360.0,0.0,0.0,2903.0,1611.0,1291.0,1292.0,1069.0,6.0,6.0,7.0,4.0,7.0,7.0,6.0,2.0,13.0,13.0
88,89.0,R Bhatia,95.0,290.0,1661.0,1.0,342.0,168.0,131.0,174.0,159.0,6.0,6.0,6.0,1.0,1.0,1.0,5.0,5.0,12.0,12.0
89,90.0,MF Maharoof,20.0,124.0,441.0,1.0,177.0,97.0,63.0,80.0,61.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,91.0,VY Mahesh,17.0,28.0,359.0,1.0,15.0,6.0,6.0,9.0,22.0,6.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
91,92.0,TM Srivastava,4.0,11.0,0.0,0.0,8.0,1.0,1.0,7.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,93.0,B Chipli,22.0,256.0,6.0,0.0,280.0,158.0,140.0,122.0,116.0,2.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0
93,94.0,DW Steyn,90.0,161.0,2159.0,1.0,166.0,91.0,69.0,75.0,92.0,2.0,2.0,2.0,8.0,8.0,11.0,11.0,11.0,13.0,0.0
94,95.0,DB Das,24.0,267.0,0.0,0.0,304.0,184.0,166.0,120.0,101.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
95,96.0,MK Pandey,96.0,1901.0,0.0,0.0,2223.0,1011.0,838.0,1204.0,1060.0,7.0,2.0,2.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0
96,97.0,HH Gibbs,36.0,837.0,0.0,0.0,886.0,472.0,421.0,414.0,416.0,8.0,8.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
97,98.0,DNT Zoysa,3.0,9.0,69.0,1.0,11.0,1.0,2.0,10.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,99.0,D Kalyankrishna,3.0,8.0,50.0,1.0,3.0,3.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,100.0,SE Marsh,71.0,1913.0,0.0,0.0,2489.0,1417.0,1120.0,1060.0,788.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
100,101.0,SA Asnodkar,20.0,352.0,0.0,0.0,423.0,264.0,203.0,159.0,149.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
101,102.0,Sohail Tanvir,11.0,31.0,265.0,1.0,36.0,14.0,14.0,22.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,103.0,Salman Butt,7.0,172.0,0.0,0.0,193.0,162.0,144.0,31.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,104.0,BJ Hodge,64.0,1153.0,238.0,0.0,1400.0,654.0,568.0,746.0,585.0,1.0,1.0,1.0,9.0,5.0,5.0,5.0,0.0,0.0,0.0
104,105.0,Umar Gul,6.0,19.0,153.0,1.0,39.0,13.0,6.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,106.0,AB Dinda,76.0,50.0,1589.0,1.0,26.0,7.0,22.0,19.0,28.0,1.0,1.0,1.0,6.0,10.0,10.0,2.0,2.0,12.0,12.0
106,107.0,SP Fleming,10.0,171.0,0.0,0.0,196.0,54.0,66.0,142.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
